ad_id,page_id,page_name,ad_creative_body,ad_creative_link_caption,ad_creative_link_description,ad_creative_link_title,ad_delivery_start_time,ad_delivery_stop_time,ad_creation_time,funding_entity,impressions_min,impressions_max,spend_min,spend_max,ad_url
1132567057207517,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=1132567057207517
769151720627119,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=769151720627119
992512974825693,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,1000,1999,0,99,https://www.facebook.com/ads/library/?id=992512974825693
2751019411829346,121264564551002,VVD,,vvd.nl,"De VVD is de grootste politieke partij in de Tweede Kamer. Bekijk onze standpunten, verhalen achter politici en ontdek hoe je mee kunt doen met de VVD.",VVD,2021-03-16,2021-03-16,2021-03-14,VVD,5000,5999,100,199,https://www.facebook.com/ads/library/?id=2751019411829346
454791928974312,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=454791928974312
477313510092091,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=477313510092091
934937437278955,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=934937437278955
450496696242186,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=450496696242186
812902035975787,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=812902035975787
180305667026386,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=180305667026386
713861249280363,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=713861249280363
470028560785048,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=470028560785048
3771433672938831,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=3771433672938831
520605142689973,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=520605142689973
487743595567323,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=487743595567323
1953864574752884,121264564551002,VVD,Ga stemmen. Het kan veilig en het gaat echt ergens over. Juist ook deze keer. Meer weten? Link in bio.,www.vvd.nl,,,2021-03-16,2021-03-16,2021-03-14,VVD,0,999,0,99,https://www.facebook.com/ads/library/?id=1953864574752884
